region,region_code,district,focl_name,focl_id
Брянская,32,Брасовский,д. Городище № 1,598
Брянская,32,Брасовский,д. Осотское,603
Брянская,32,Брасовский,п. Воронов Лог,596
Брянская,32,Брасовский,п. Красное,601
Брянская,32,Брасовский,п. Красный Колодец,597
Брянская,32,Брасовский,с. Добрик,599
Брянская,32,Брасовский,с. Дубровка,600
Брянская,32,Брасовский,с. Сныткино,602
Брянская,32,Новозыбковский,д. Крутоберезка,665
Брянская,32,Новозыбковский,д. Опытная станция,661
Брянская,32,Новозыбковский,д. Халеевичи,658
Брянская,32,Новозыбковский,с. Белый Колодец,663
Брянская,32,Новозыбковский,с. Внуковичи,659
Брянская,32,Новозыбковский,с. Деменка,660
Брянская,32,Новозыбковский,с. Каташин,667
Брянская,32,Новозыбковский,с. Катичи,657
Брянская,32,Новозыбковский,с. Манюки,662
Брянская,32,Новозыбковский,с. Новое Место,668
Брянская,32,Новозыбковский,с. Синий Колодец,664
Брянская,32,Новозыбковский,с. Старый Вышков,666
Брянская,32,Суземский,п. Новенькое,770
Брянская,32,Суземский,п. Холмечи,768
Брянская,32,Суземский,с. Алешковичи,762
Брянская,32,Суземский,с. Зерново,763
Брянская,32,Суземский,с. Невдольск,765
Брянская,32,Суземский,с. Негино,767
Брянская,32,Суземский,с. Новая Погощь,769
Брянская,32,Суземский,с. Семеновск,766
Брянская,32,Суземский,с. Страчово,764
Воронежская,36,Борисоглебский,с. Горелка,1011
Воронежская,36,Борисоглебский,с. Старовоскресеновка,1012
Воронежская,36,Борисоглебский,с. Тюковка,1013
Воронежская,36,Новохоперский,п. Березовка,1023
Воронежская,36,Новохоперский,п. Долиновский,1024
Воронежская,36,Новохоперский,п. Михайловский,1026
Воронежская,36,Новохоперский,п. Новопокровский,1028
Воронежская,36,Новохоперский,п. Полежаевский,1027
Воронежская,36,Новохоперский,с. Бурляевка,1029
Воронежская,36,Новохоперский,с. Подосиновка,1025
Воронежская,36,Новохоперский,с. Русаново,1022
Воронежская,36,Новохоперский,х. Замельничный,1021
Воронежская,36,Поворинский,с. Ильмень,1031
Воронежская,36,Поворинский,с. Каменка,1030
Костромская,44,Судиславский,д. Грудки,1783
Костромская,44,Судиславский,д. Жвалово,1785
Костромская,44,Судиславский,д. Михайловское,1784
Костромская,44,Судиславский,д. Фадеево,1787
Костромская,44,Судиславский,п. Глебово,1782
Костромская,44,Судиславский,п. Западный,1786
Костромская,44,Судиславский,с. Воронье,1781
Курская,46,Мантуровский,с. 1-е Засеймье,2055
Курская,46,Мантуровский,с. 2-е Засеймье,2056
Курская,46,Мантуровский,с. Большие Бутырки,2053
Курская,46,Мантуровский,с. Заречье,2054
Курская,46,Мантуровский,с. Куськино,2057
Курская,46,Мантуровский,с. Останено,2058
Курская,46,Мантуровский,с. Роговое,2059
Курская,46,Мантуровский,с. Свинец,2060
Курская,46,Мантуровский,с. Стужень,2061
Липецкая,48,Елецкий,д. Дерновка,2122
Липецкая,48,Елецкий,д. Екатериновка,2116
Липецкая,48,Елецкий,д. Ивановка,2125
Липецкая,48,Елецкий,д. Колосовка,2120
Липецкая,48,Елецкий,д. Трубицино,2119
Липецкая,48,Елецкий,д. Чернышевка,2118
Липецкая,48,Елецкий,д. Чибисовка,2124
Липецкая,48,Елецкий,ж.д. ст. Телегино,2123
Липецкая,48,Елецкий,с. Архангельское,2115
Липецкая,48,Елецкий,с. Ериловка,2126
Липецкая,48,Елецкий,с. Ольховец,2121
Липецкая,48,Елецкий,с. Паниковец,2117
Орловская,57,Ливенский,c. Воротынск,1158
Орловская,57,Ливенский,c. Вязовая Дубрава,1166
Орловская,57,Ливенский,c. Грязцы,1172
Орловская,57,Ливенский,c. Екатериновка,1170
Орловская,57,Ливенский,c. Жерино,1171
Орловская,57,Ливенский,c. Казанское,1168
Орловская,57,Ливенский,c. Круглое,1167
Орловская,57,Ливенский,c. Никольское,1169
Орловская,57,Ливенский,c. Сосновка,1165
Орловская,57,Ливенский,c. Теличье,1163
Орловская,57,Ливенский,д. Викторовка,1156
Орловская,57,Ливенский,д. Горностаевка,1162
Орловская,57,Ливенский,д. Моногарово,1173
Орловская,57,Ливенский,д. Орлово,1160
Орловская,57,Ливенский,д. Покровка Вторая,1164
Орловская,57,Ливенский,д. Семенихино,1159
Орловская,57,Ливенский,п. Дубки,1174
Орловская,57,Ливенский,с. Введенское,1175
Орловская,57,Ливенский,с. Здоровец,1161
Орловская,57,Ливенский,с. Остров,1157
Рязанская,62,Захаровский,"п. совхоза ""Смена""",1315
Рязанская,62,Захаровский,с. Большое Коровино,1313
Рязанская,62,Захаровский,с. Добрые Пчелы,1314
Рязанская,62,Рыбновский,д. Выселки,1316
Рязанская,62,Рыбновский,д. Высокое,1332
Рязанская,62,Рыбновский,д. Марково,1323
Рязанская,62,Рыбновский,д. Старое Батурино,1317
Рязанская,62,Рыбновский,д. Чурилково,1330
Рязанская,62,Рыбновский,п. Дивово,1320
Рязанская,62,Рыбновский,п. Пионерский,1325
Рязанская,62,Рыбновский,с. Большое Жоково,1318
Рязанская,62,Рыбновский,с. Вакино,1319
Рязанская,62,Рыбновский,с. Городище,1329
Рязанская,62,Рыбновский,с. Житово,1321
Рязанская,62,Рыбновский,с. Константиново,1322
Рязанская,62,Рыбновский,с. Новоселки,1324
Рязанская,62,Рыбновский,с. Пощупово,1326
Рязанская,62,Рыбновский,с. Сельцы,1327
Рязанская,62,Рыбновский,с. Старолетово,1331
Рязанская,62,Рыбновский,с. Федякино,1328
