region,region_code,district,focl_name,focl_id
Владимирская,33,Александровский,д. Елькино,771
Владимирская,33,Александровский,д. Легково,772
Владимирская,33,Александровский,п. Светлый,773
Владимирская,33,Александровский,с. Большое Каринское,775
Владимирская,33,Александровский,с. Бакшеево,778
Владимирская,33,Камешковский,д. Новая Быковка,811
Владимирская,33,Камешковский,с. Горки,812
Владимирская,33,Киржачский,д. Илькино,816
Владимирская,33,Киржачский,д. Афанасово,817
Владимирская,33,Киржачский,участок Мележи,819
Владимирская,33,Киржачский,д. Кашино,820
Владимирская,33,Киржачский,д. Песьяне,821
Владимирская,33,Ковровский,д. Шевинская,823
Владимирская,33,Ковровский,п. Болотский,824
Владимирская,33,Ковровский,п. Восход,825
Владимирская,33,Ковровский,с. Павловское,826
Владимирская,33,Ковровский,п. Крестниково,830
Владимирская,33,Ковровский,д. Ильино,833
Владимирская,33,Ковровский,с. Крутово,835
Владимирская,33,Кольчугинский,с. Бавлены,836
Владимирская,33,Кольчугинский,с. Беречино,843
Владимирская,33,Кольчугинский,п. Металлист,844
Владимирская,33,Петушинский,д. Глубоково,876
Владимирская,33,Петушинский,д. Головино,877
Владимирская,33,Петушинский,д. Старое Перепечино,878
Владимирская,33,Петушинский,п. Болдино,879
Владимирская,33,Петушинский,д. Леоново,881
Владимирская,33,Петушинский,д. Старые Омутищи,882
Владимирская,33,Петушинский,д. Старые Петушки,883
Владимирская,33,Собинский,д. Васильевка,895
Владимирская,33,Собинский,с. Волосово,897
Владимирская,33,Собинский,с. Жерехово,898
Владимирская,33,Суздальский,с. Лемешки,906
Владимирская,33,Суздальский,с. Ославское,907
Владимирская,33,Суздальский,с. Богослово,908
Владимирская,33,Суздальский,с. Барское-Городище,910
Владимирская,33,Суздальский,с. Брутово,911
Владимирская,33,Суздальский,с. Семеновское-Красное,912
Владимирская,33,Суздальский,с. Суходол,914
Владимирская,33,Суздальский,с. Ивановское,915
Владимирская,33,Суздальский,с. Омутское,916
Владимирская,33,Суздальский,с. Сельцо,917
Владимирская,33,Юрьев-Польский,с. Беляницыно,919
Владимирская,33,Юрьев-Польский,с. Городище,921
Владимирская,33,Юрьев-Польский,с. Кузьмадино,922
Владимирская,33,Юрьев-Польский,с. Подолец,923
Владимирская,33,Юрьев-Польский,с. Шипилово,926
Владимирская,33,Юрьев-Польский,с. Спасское,931
