focl_name,region,district,subcontr_name,start_build_date,end_build_date
Свишни с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Слепуха с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Стрелец с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Вязовое с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Грызлово с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Долгуша с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Меньшой Колодезь с.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Тимирязевский п.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Веселая д.,Липецкая,Долгоруковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Лебяжье с.,Липецкая,Измалковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Быково с.,Липецкая,Измалковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Васильевка с.,Липецкая,Измалковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Чермошное с.,Липецкая,Измалковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Ровенка с.,Липецкая,Измалковский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Большие Избищи с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Вязово с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Докторово с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Каменная Лубна с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Культура п.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Михайловка с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Слободка с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Шовское с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Старый Копыл с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Куликовка Вторая с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
Павелка с.,Липецкая,Лебедянский,СвязьСпецСтрой ООО,01.06.16,30.06.16
